Product Description,Category,Uniq Id
"Net Contains : 500ml Neem oil is a Naturally Occurring Pesticide found in seeds from the neem tree. It is yellow to brown, has a Bitter taste, and a Garlic/Sulfur smell. While it doesn’t sound very attractive, neem oil can be very beneficial by providing an all natural pesticide that controls both pests and diseases. Loaded with nutrients, neem oil is also used in natural skin care products because it contains high levels of antioxidants that help protect the skin from environmental damage. Neem also helps fight free radical damage in the skin because it contains Carotenoids, which provide high antioxidant compounds. As a result, cold-pressed neem oil and neem extracts are widely used in cosmetics such as soap, Hair products, Cosmetics, Hand creams and Pet shampoos. Neem oil is usually comprised of a mixture of components. Azadirachtin is the most active component and is used for repelling and killing pests. After the extraction of azadirachtin, the portion left over is called clarified hydrophobic neem oil. As reported by Current Science, it works as an effective non-toxic insect control agent to agriculture. Since neem is also especially high in important fatty acids and vitamin E and can quickly penetrate outer layers of skin, it is extremely effective in healing dry and damaged skin. Benefits:  It works as an effective non-toxic insect control agent to agriculture.  Helps fight free radical damage in the skin  Loaded with nutrients  Promotes healing of wounds  Good for pets to relieve itchy conditions  Treats mange when mixed with Karanjin Oil.  Insecticidal used in Agriculture also",Hair Care,2082c2ebaa89981dacad6b7eab7a0298
Thicker Fuller Hair Instantly Thick Serum 5oz. Cell-U-Plex,Hair Care,2a3f443dbf687f786176aee09445c6d7
"From acne to dry skin, from wrinkles to sunburn, whatever be the problem, grapeseed oil is the best solution. Regular use of grapeseed oil makes the skin soft and supple while strengthening and fortifying the skin.",Hair Care,a08b5c8e58250b78924d1cf9f01d555e
"This Shampoo and Conditioner system, infused with authentic Moroccan argan oil, gently cleanses while making hair brilliantly shiny. Moroccan argan oil is a lightweight miracle oil that absorbs instantly and is known to give brilliant shine and long lasting conditioning benefits.",Hair Care,6d9f521c7eb0c0689441ec44bab62cb3
"Argan Oil from Morocco Repairing Deep Conditioner. HASK Argan Oil Intense Deep Conditioning Treatment with Keratin, is a super strengthening, hydrating treatment that will restore and smooth dry, damaged, chemically treated or over processed hair.",Hair Care,3111857ae9afd7607eaa7228f479974a
Fast-absorbing treatment for fine and thinning color-treated hair energizes the scalp and provides a healthy scalp environment to improve the appearance of thinning hair.,Hair Care,06eadbde48dff2e6333c60a262204400
"For best results use daily. Wet hair, massage into scalp, rinse. Repeat if desired.",Hair Care,7af3541a9fbf9d0ff72af0163109af0f
"Reap the benefits of shikakai, the oldest remedy and essential hair care element and enjoy hair that is so gorgeous and healthy, you can’t stop touching. Anti Dandruff and Hair fall The shampoo fights dandruff and hair fall, both problems that most people face during climate change. The shikakai spreads sufficient nutrition to your hair fibre to fight the effects of temperature and other elements that lead to weaker hair and other hair problems. Rejuvenates, Promotes Health and Vitality Shikakai ensures that your hair is supplied a rich base of nutrition that will rejuvenate hair from its previous state, the shampoo also will promote health and vitality so you flaunt locks that cause envy around the block. Natural Tonic The shampoo brings a natural tonic in its formulation that has for years been a home remedy for great hair so all you have to do is regularly wash your hair with this shampoo and you will be left with quicker hair growth. Improves Scalp Conditions The efficient formulation keeps your scalp cleansed and revitalized so your hair is provided a clean and healthy base to grow on. Prevents Hair Damage When every aspect that builds your hair up is provided utmost care, all signs of hair damage will be reduced but the nurture and health of your hair will stay better than ever.",Hair Care,45116b9eb11764794c4270adcaabbf6f
"Khadi Pure Gramodyog Herbal Orange Lemongrass Hair Conditioner is enriched with pure natural vitamin e oil, anti oxidants and essential oils for hair. It penetrates and seals the cuticle to fill the hollow unwanted cores of damaged lifeless and brittle hair. This moisturizing conditioner makes your hair naturally soft, silky, strong and shiny. Ingredients: Aqua, Citrus Sinensis (Orange), Aloe Vera (Ghrita-Kumari), Centella Asiatica (Mandukaparni), Glycyrrhiza Glabra (Mulethi), Trachyspermum Ammi (Ajwain ), Citrus Limon (Nimbaka), Cymbopogon Citratus(Lemongrass), Wheat Germ Oil. Applicare: After shampoo apply on entire hair length especially at the edges. Wait for a few minutes. Rinse thoroughly. Contents: 210ml Bottle.",Hair Care,909725aa72c54c34c04392e43e629269
Parachute Coconut hair oil brings to you the natural goodness of coconut. The essential purity makes Parachute Coconut hair oil a premium hair oil. Soaking bottle in hot water can liquefy the oil.,Hair Care,a5ef86d5def213b9a130e7bb11ec1d60
"Shea Moisture Jamaican Black Castor Oil Strengthen and Restore Conditioner By Shea Moisture for Unisex - 3.2 Oz Co, 3.2 Ounce",Hair Care,69b2ea94ded8fb27276cc5d5459041b1
Racine Hair lotion suitable for all hair types,Hair Care,8053075ba63746703f5318eac2652a8d
The best way to color your hair naturally is by using 100% pure mehendi powder. Henna has natural antifungal and antimicrobial properties that work to cool and soothe your scalp while giving it a natural tint. Our premium mehendi powder is made from pure henna leaves which are ground to perfection that will leave your hair moisturized and nourished,Hair Care,20ed2a0617af4e364f4b3a122b2f9fd1
"Botanical Name: Lawsonia Inermis Liberty International Organic Henna powder is excellent for dyeing hair. It gives rich reddish tone to hair and can be used with Indigo Powder for brown to black shades. Henna can be quite cooling to the scalp. This, in combination with its antimicrobial properties, helps maintain scalp health. It helps fight off scalp conditions like dandruff. It is also an excellent ingredient for balancing oil production and the pH of your scalp. It removes the excess oil from your hair, helping unclog follicles, and also restoring normal functioning of the sebaceous glands. The boosted scalp health, unclogging of pores, and balanced pH levels put a stop to hair loss and promote healthy hair growth. Not only will henna help your hair grow faster, but it will also improve hair texture. The nutrients in henna help nourish your hair while also repairing the damage. The balancing of the pH levels also helps seal the hair cuticle, leading to locks that are more lustrous. This helps improve hair elasticity. Henna builds a protective barrier around each one of your hair shafts, locking in moisture and keeping your hair conditioned. It can be especially beneficial when used in hair packs in combination with other hydrating ingredients. Henna helps minimize issues such as hair breakage and split ends.The product is processed under Organic Certifed processing facility and then packed in Food grade consumer packs under hygienic environment. we ensure that only fresh batches of products are packed. Note: The recipes given here are our suggestion only. This information has not been evaluated by Food and Drug Administration. This information is not intended to diagnose, cure, treat or prevent any disease, Please consult an expert before use.",Hair Care,071802b72fb67adb66165cfe34817fcd
###############################################################################################################################################################################################################################################################,Hair Care,ea8e32e93a96e2b2f1d5741d7e421b83
"This stimulating shampoo cream is the perfect complement for anti-hair loss treatments. It restores volume, strength and vitality to your hair and can be used as often as needed. Ducray Advantage : Stronger, more resistant hair 88%. Pleasant fragrance for 95% of users. Easy to apply: 90%. Ingredients Water (Aqua), Sodium Laureth Sulfate, Peg-7 Glyceryl Cocoate, Distearyl Phthalic Acid Amide, Polysorbate 20, Coco-Glucoside, Lauryl Betaine, Ceteareth-60 Myristyl Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Alcohol, Biotin, Citronellol, Dmdm Hydantoin, Fragrance (Parfum), Magnesium Aluminum Silicate, Methylisothiazolinone, Panthenol, Pantolactone, Polyquaternium-7, Pyridoxine Hcl, Ruscus Aculeatus Root Extract, Sodium Benzoate, Sodium Chloride, Sodium Hydroxide, Sodium Polynaphthalenesulfonate, Tocopheryl Nicotinate, Zinc Pyrithione. How to use product Apply first to damp hair. Lather. Rinse. Reapply by massaging the scalp for 2 to 3 minutes. Rinse thoroughly. To be used as often as needed",Hair Care,e9ce42f26e89ada69c2b24190eaef520
Deva,Hair Care,4f683a8904c34217511cb2c7b47d5700
Double Hathi Deluxe Mehendi,Hair Care,1a150cecde6297835d99203b24bfa852
"Difeel Premium Rejuvenating Hair Mask - Caviar 1.75 oz. (6-PACK) - for Lifeless Dull & Damaged Hair, Leaves Hair Lavish & Silky, Works to Smooth Frizz",Hair Care,f0af3d54bb40867554e8d3a8eb6a5572
Bandai,Hair Care,80cc0999e12456bf15b7845447439ddb
Hi-Pro-Pac Conditioner For Permed Formula 8 oz / 237 ml,Hair Care,9e3074f6b6dffad034beda178b3f80e9
"Size:3-Pack The package contains three containers of one 3.5 oz, 10.5 oz in total, of Meera Hair Wash Powder, which is a healthy and traditional method of shampooing your hair. The Powder is made from natural ingredients that nurture and protect the hair making it soft and healthy. Meera powder is a blend of flowers and herbs such as shikakai, green gram, tulsi, vetiver and reetha which cleanse the hair, leaving it fresh and shiny. The powder also contains Hibiscus and Fenugreek which act as deep conditioners and strengthen each strand of hair from the root to the tip.",Hair Care,664482f498128c19b217bb1a56cfb613
"Kerastase Bain Force Architecte shampoo is a brilliant reconstructing shampoo that replenishes and strengthens the hair fibre over time. Just imagine what your hair has to go through over time, blow dries, chemical processes and much more. No wonder, these factors can contribute to hair breakaging, split ends and dull hair.",Hair Care,109b822e157e44e2b5487b3f8ed8f778
"Inspired by the no pow (no shampoo) method used in the united states, the low shampoo is a new way to wash the hair. Switch your classic shampoo with a hair care enriched in 99% botanical cleansing agents. It's the new trend in the daily hair care routine. Let yourself be surprised by its new formula which does not foam. This delicate cleansing cream with organic hawthorn extracts protects the integrity of the hair fibre even used daily.",Hair Care,600494082bc9926d9dbc4b57d2abe4b8
"See a full head of hair in 30 seconds. Toppik is made of all-natural coloured keratin protein. Toppik fibers blend undetectably with your existing hair, instantly making it full and thick. Toppik fiberhold spray is a fine mist made to strengthen the bond between Toppik hair fibers and your existing hair, producing longer-lasting results. Toppik fiberhold spray is the perfect finishing step after applying hair fibers for natural-looking shine.",Hair Care,4fb246fc32aa6ad0e1cc8963975f6cef
"It protects and nourishes hair for the hair color to stay vibrant. Combination of natural ingredients like juvexin, aloe vera and natural flower seed oils lock color in longer to fight fade-out and penetrate deep to nourish damaged hair and make it shinier. This color shield conditioner unleashes the significant hair essentials such as the color protection, uv and uva shield and juvexin, which defy the true identity of healthy hair and healthy maintenance for the hair color.",Hair Care,5baa4c6575d74a6b48b94cabfaa0da8f
"Avon Beyond Color Lip Conditioner SPF 15. Instantly lips feel softer, smoother and firmer. Colorless to wear alone or under lip color",Hair Care,6b661d67f9a314a4d2a03b7804126fee
"Color:Aloe and Citrus This conditioner by bio creative lab utilizes the moisturizing and soothing properties of certified organic aloe vera together with the gentle, cleansing effects of certified organic citrus to leave hair feeling silky smooth and soft while leaving the scalp feeling energized and invigorated. Hair will look restored, refreshed and rejuvenated",Hair Care,84f098e4dcec6173b9cb498b8801c86b
"DR BATRA HAIR FALL CONTROL COMBO KIT - Hair fall control shampoo - contains watercress and Indian cress that makes hair stronger and stimulates hair growth, whereas Thuja stimulates the hair growth and controls hair fall. Hair Oil - oil contains tulsi, brahmi and thuja are the main contents. Where the tulsi stimulates the proliferating cells in the hair root to boost growth. Brahmi strengthens hair roots and thuja a good DHT inhibitor, balances the scalp oil production by improving blood circulation.",Hair Care,30b999bb69cb81cc7607d8a45c7f048c
"A lightweight conditioner, specially formulated with AHAVA’s propriety osmoter to help restore hydration of hair and scalp. Combined with Abyssinian seed oil, castor seed oil, vitamin e, aloe vera and chamomile extracts to nourish and extra soften the hair and scalp. Daily use of mineral conditioner eases in combing long hair and helps prevent breakage of fragile and dry hair, restores hair shine and color. Free of paraben, sls \sles, allergy tested and approved for sensitive skin.",Hair Care,1e340f55b40d6c690be2e822fb8c629e
Intensely hydrates skin and hair Reduces unsightly tangles Gives facial hair vitality and healthy glow Contains natural Ingredients Reduces beard itch,Hair Care,9e1b49d6ee219a6d446281a8ff631487
Cleanse by Label M Thickening Conditioner 300ml by Label M (English Manual),Hair Care,1666b7e380969e45f7b2f84cf32c26c7
"Item name: men beard nourishing natural plant oil beard shaped essence oil gift 30ml new description shipping payment contact us description features: brand new and high quality color: brown ingredients: essential oils of plants scope: men's general net content: 30ml product size: 10.5 * 3 * 3cm packing list: 1xÃâšÃÂ beard n ourishing oil 30ml shipping item will be shipped within 24 -48 hours after full payment is received. normally the shippment to worldwide is used to take 15 to 25 business days, exclude sat & sun. payment we accept paypal only. payment must be received in 7 business days of auction closing. please leave note for your special request (e. G. Colors or size) in ebay note when you pay the order. any special request cannot be accepted after 24 hours of payment, because most of orders will be processed instantly and same day dispatched. contact us if you have any questions, please feel free to email our servicer ÃÂ¯ÃÂ¼Ãâand we will reply you asap. If no response within 24 hours, please check the spam of mail box or kindly re-send it to us. we greatly appreciate your positive feedback. Please do not leave negative or neutral feedback without any contact. If you haven't received item in 45 days, please contact us and we will arrange refund or resend",Hair Care,a249c827d3ddef4fa7fcdd962bdb4ea2
"Alberto VO5 Healthful Green Tea Therapy Smoothing Conditioner. Long lasting fragrance. 5 Essential Vitamins for healthy, beautiful hair.",Hair Care,9c6e4b78a7c5e2e8bb5c08d8bfb036cc
"Coconut oil reduces protein loss and is beneficial for the health of the hair, provides nutrients for the hair, coconut oil is often said to be the best oil to use on your hair to reduce protein loss and be beneficial for healthy hair, provides nutrient hair Sun protection: UV filters can help protect your hair from sun damage.",Hair Care,890d49cce5a338aa3a3b41ec21859739
Joy Hair Fruits Shining Black Revitalizing Shampoo with Amla and Black Grapes offers quick nourishment to the scalp to revitalize dull hair and encourage shiny black hair. Regular use rejuvenates tired hair and offers healthy shine.Amla prevents hair loss and improves hair growth. Rejuvenating and revitalizing properties in Amla helps make the hair exceptionally shiny and lustrous.Black Grapes work towards making the hair smooth and gentle. Strengthens hair roots and gives beautiful and luxuriant hair.,Hair Care,f728afe52435e9eb2f0013bf765e9f7e
Cool your body with a weekly routine of oil bath with meera herbal hairwash powder.,Hair Care,cbafcb1457f6944d652763c33908ef34
"Unique advantage of caffeine, biotin, hair and scalp conditioners. Daily Care shampoo specifically designed for men.",Hair Care,387fa1bfcaf4476a75d895444cc45551
"A coconut oil base shampoo for oily hair. It is a shampoo with dandruff control active.Contains pure extracts of Brahmi, Amla, Kayyuanni and Karinochi. Ingredients: Potassium Cocoate (Saponified Cocos nucifera), Sodium Lauroyl Sarcosinate, Extracts of Brahmi (Baccopa monnierii), Amla (Emblica officinalis), Kayyunni (Eclipta alba), Karinochi (Vitex negundo), Green Tea Extract (Camelia sinensis), Phenoxyethanol, Tocopherol, Panthenol, Hydrogenated Castor Oil, Pure essential oils of Holy Basil (Ocimum sanctum), Lemon (Citrus limonum), Fennel (Anethum graveolens). Pack of 100ml",Hair Care,6210667d0205ab3a18e6711c07a4e409
"Boost your hair care routine with the Finesse Volumizing Conditioner to lock in moisture, without weighing your hair down.",Hair Care,c68c5805c39b86bdde1a3ed72c742810
"A luscious smoothing mask for rebellious hair enriched with pro-keratin plus kukui & evening primrose oils helps nourish & hydrate hair while polishing its surface provides up to four days anti-frizz effect, even in high levels of humidity purifies both hair & scalp while taming unruly hair unveils softer, smoother, shinier & more manageable hair",Hair Care,0f504b86cecd250a95383cb8a32d3598
AMLA POWDER IS 100% ORGANIC POWDER NATURAL CONDITIONER RICH IN VITAMIN C.USE: MIX AMLA POWDER WITH WATER TO MAKE A PASTE IN SUITABLE CONSISTENCY.ALLOW THE PASTE ON HAIR FOR 60 MINUTES & RINSE THOROUGHLY WITH WATER.,Hair Care,62a3cc912c12ea99bf345e32475d17f3
"This richly lathering shampoo is packed with real beer which has excellent conditioning properties. It protects against hair damage from the roots leaving it strong and healthy. Leave you hair shiny, non-sticky and bouncy with Park Avenue beer shampoo.",Hair Care,cca0d711ca8f2ed643846b2f32e6bf59
Hesh Pharma Ancient Formula Almond Hair Oil 200 ml oil,Hair Care,d6d61b68c477d26c5725fd26707d08da
"World’s most natural shampoo – 94% Leaf Juice, only 6% Preservatives and Surfactants. Goodness of Ayurveda for Shiny Hair.",Hair Care,ad3c3cca9e9126710776c617f85a6079
